iter	Logloss
0	0.6503175317
1	0.6096526106
2	0.578223453
3	0.5474094635
4	0.519901317
5	0.4994793482
6	0.4787114316
7	0.4630303099
8	0.4470104127
9	0.433141425
10	0.4216798391
11	0.4108738354
12	0.4022097569
13	0.3945132197
14	0.3880600988
15	0.3818303882
16	0.3771999444
17	0.3712704946
18	0.3670281466
19	0.3627767308
20	0.3590342928
21	0.3555370959
22	0.3526334826
23	0.3501092119
24	0.3473735144
25	0.3455782126
26	0.3432290355
27	0.3412707142
28	0.3390995605
29	0.3376672592
30	0.3364389981
31	0.3352123029
32	0.3341594726
33	0.3329230991
34	0.3318173805
35	0.3306260711
36	0.3295826518
37	0.328296852
38	0.327280348
39	0.3266951677
40	0.3254304392
41	0.3247536059
42	0.3236803479
43	0.3229988444
44	0.3221173584
45	0.3213192489
46	0.3208527281
47	0.3202389073
48	0.3194521591
49	0.318971396
50	0.3183450974
51	0.3178731346
52	0.3173612916
53	0.3169654853
54	0.3163843012
55	0.3160295996
56	0.3156997716
57	0.3152857708
58	0.3143982595
59	0.3138636672
60	0.313492959
61	0.3130237322
62	0.3123521106
63	0.3118428252
64	0.3114821996
65	0.3112318135
66	0.310831035
67	0.3105781734
68	0.3103463325
69	0.3100524894
70	0.3097610869
71	0.3094693762
72	0.3092357787
73	0.3086312495
74	0.3083799031
75	0.3080731784
76	0.3077711287
77	0.3075828189
78	0.307260617
79	0.3071122505
80	0.3068806637
81	0.3062856178
82	0.3057218615
83	0.3055277331
84	0.3053107796
85	0.3049159493
86	0.3046667765
87	0.3044660659
88	0.3042899247
89	0.3041216181
90	0.3038902539
91	0.3037057347
92	0.3035522028
93	0.3033432644
94	0.3032151531
95	0.3030099693
96	0.3028019374
97	0.3024313801
98	0.3019170018
99	0.3017565036
100	0.3015754378
101	0.3014598115
102	0.3011738051
103	0.3010007228
104	0.3008988128
105	0.3007121458
106	0.3004237981
107	0.3002498869
108	0.3000957022
109	0.2998271373
110	0.2996388784
111	0.2995367399
112	0.2994091552
113	0.299323509
114	0.2991953376
115	0.2990677926
116	0.2988628382
117	0.2987607552
118	0.2986425199
119	0.2984634992
120	0.2982890339
121	0.2979926988
122	0.2977330006
123	0.2975843386
124	0.2974567025
125	0.2971289388
126	0.2970396173
127	0.2969265212
128	0.2967483357
129	0.2966692327
130	0.2965406686
131	0.2964084328
132	0.2963022914
133	0.2961658806
134	0.2960614947
135	0.29591638
136	0.2958489194
137	0.2957174352
138	0.295546413
139	0.2953543341
140	0.2951887145
141	0.2951170609
142	0.2950646541
143	0.2949689846
144	0.2949194866
145	0.2948441538
146	0.2944712708
147	0.2943651262
148	0.2942480018
149	0.2941822704
150	0.2941246195
151	0.2940280735
152	0.2939783573
153	0.2937887509
154	0.2937016516
155	0.2933972778
156	0.2933162425
157	0.2932490163
158	0.2931386456
159	0.2929699739
160	0.2928690099
161	0.2927729377
162	0.2924218091
163	0.2923150644
164	0.2922220927
165	0.2921012474
166	0.2919095391
167	0.2918091795
168	0.2915319807
169	0.2914385582
170	0.2913602333
171	0.2912979861
172	0.2912576433
173	0.2911979807
174	0.29111086
175	0.291065833
176	0.2909624949
177	0.2908990329
178	0.2908056424
179	0.2907024527
180	0.2906574723
181	0.2905529723
182	0.2904136893
183	0.2903171441
184	0.2902073441
185	0.2901730992
186	0.2901149756
187	0.2900149577
188	0.2899441762
189	0.2898737195
190	0.289793003
191	0.2897261142
192	0.2895523163
193	0.2894641681
194	0.2894188709
195	0.2893428376
196	0.289253428
197	0.2891672873
198	0.2891032689
199	0.2890602987
200	0.2889717412
201	0.2889187338
202	0.2886610604
203	0.2885991362
204	0.2885493444
205	0.2884413869
206	0.2882496824
207	0.2881971726
208	0.2880841231
209	0.2879979107
210	0.2878373636
211	0.287754342
212	0.2876918752
213	0.2876403576
214	0.28758476
215	0.2875094075
216	0.2873445424
217	0.2873182537
218	0.2872615274
219	0.2868818314
220	0.2868203483
221	0.2867392098
222	0.286654445
223	0.2865454148
224	0.2864986135
225	0.2861580817
226	0.2860566568
227	0.2859564339
228	0.285921873
229	0.2857815518
230	0.2856819895
231	0.2855167348
232	0.2853708856
233	0.2852750626
234	0.285247497
235	0.2851907806
236	0.2851340537
237	0.2850846499
238	0.2850518495
239	0.2850019897
240	0.2849561235
241	0.2849010381
242	0.284802714
243	0.2847160328
244	0.2846768416
245	0.2844689927
246	0.284417288
247	0.2843707031
248	0.2843230067
249	0.2842836053
250	0.2842030382
251	0.2841501877
252	0.2840920582
253	0.2838888751
254	0.2838309118
255	0.2837693077
256	0.2836866043
257	0.2835164012
258	0.2834396664
259	0.2834008617
260	0.2833201781
261	0.2832778006
262	0.2832272406
263	0.2831736571
264	0.2830457404
265	0.2829106147
266	0.2826687968
267	0.2826236743
268	0.2825644754
269	0.2825232718
270	0.2824549008
271	0.2823828933
272	0.2823278654
273	0.2822790427
274	0.2822176738
275	0.2821601483
276	0.2820799005
277	0.281874009
278	0.2818118952
279	0.2817360815
280	0.281668625
281	0.2815739619
282	0.2814984513
283	0.2814265755
284	0.2813691369
285	0.2812756678
286	0.2812349095
287	0.2811859755
288	0.2811246371
289	0.2808829989
290	0.280647206
291	0.2806165781
292	0.2805531623
293	0.2804784957
294	0.2803990899
295	0.28032843
296	0.2802788806
297	0.280229137
298	0.2801128339
299	0.2800613422
300	0.2799642626
301	0.2798883944
302	0.2796848812
303	0.2795883907
304	0.2795578435
305	0.2793056341
306	0.2792323713
307	0.2791402831
308	0.2791082711
309	0.2789271584
310	0.278879264
311	0.2786792408
312	0.2786090951
313	0.2785356569
314	0.2783402265
315	0.2782670049
316	0.2782035851
317	0.2781495261
318	0.2781078067
319	0.2780699438
320	0.2780151887
321	0.2779440585
322	0.2779091287
323	0.277844933
324	0.2777910856
325	0.2775772393
326	0.2774468001
327	0.2773961713
328	0.277325297
329	0.2772982565
330	0.2772367451
331	0.2770684386
332	0.2769781052
333	0.2769347252
334	0.2768722155
335	0.2767940753
336	0.2767529177
337	0.2767170104
338	0.2766586778
339	0.2766153461
340	0.2765537939
341	0.2764479351
342	0.2763981898
343	0.2763544338
344	0.2763069113
345	0.2762626891
346	0.2761954148
347	0.276133927
348	0.2760669994
349	0.2760065391
350	0.2759575247
351	0.2758915155
352	0.27583848
353	0.2757776338
354	0.2757457201
355	0.2756842742
356	0.2756548445
357	0.2755889311
358	0.2755600136
359	0.2755160043
360	0.2754731823
361	0.2754358911
362	0.2753772214
363	0.2753151013
364	0.275135966
365	0.275095531
366	0.2750348052
367	0.2749578956
368	0.2748789887
369	0.2748134433
370	0.2747776196
371	0.2747214988
372	0.2746584497
373	0.2746325702
374	0.2745497556
375	0.2745074396
376	0.2744481839
377	0.2743976882
378	0.2743500465
379	0.2743052461
380	0.2742523052
381	0.274231856
382	0.2741945228
383	0.2741217005
384	0.2740836617
385	0.2740120285
386	0.2739599726
387	0.2738935772
388	0.27384807
389	0.2737138483
390	0.2736648996
391	0.2735728562
392	0.2735394853
393	0.2734761311
394	0.2734438432
395	0.2733270528
396	0.273314521
397	0.2732907161
398	0.2732255025
399	0.2731776553
400	0.2731219734
401	0.2730718256
402	0.2729924233
403	0.2729276078
404	0.2728713012
405	0.2728276322
406	0.2728008047
407	0.2727468714
408	0.272714587
409	0.2726637064
410	0.2726180261
411	0.2725884651
412	0.2725360877
413	0.2724753975
414	0.2724160942
415	0.2723638216
416	0.2723096216
417	0.2722543554
418	0.2722257726
419	0.2721872984
420	0.2721476529
421	0.2720870224
422	0.2720458243
423	0.271999697
424	0.2719569104
425	0.2718874236
426	0.2718409557
427	0.2717788716
428	0.2717290524
429	0.2716897267
430	0.2716351808
431	0.2715901961
432	0.2715473012
433	0.2714784568
434	0.271400779
435	0.2713442903
436	0.2712693697
437	0.2712330901
438	0.2711774208
439	0.2711284901
440	0.271039939
441	0.2709717918
442	0.2709212216
443	0.2708872209
444	0.2708463495
445	0.2707841977
446	0.2707412936
447	0.2707039087
448	0.2706540646
449	0.2706341074
450	0.2705645028
451	0.2705196144
452	0.2704789898
