iter	Passed	Remaining
413	2925	4140
414	2931	4131
415	2939	4126
416	2945	4117
417	2952	4110
418	2958	4102
419	2964	4094
420	2971	4087
421	2977	4078
422	2984	4071
423	2990	4062
424	2996	4054
425	3003	4047
426	3009	4038
427	3017	4032
428	3023	4023
429	3029	4016
430	3036	4008
431	3042	4000
432	3050	3994
433	3056	3986
434	3064	3979
435	3070	3971
436	3076	3963
437	3083	3956
438	3089	3947
439	3095	3939
440	3101	3931
441	3107	3922
442	3113	3915
443	3119	3906
444	3126	3899
445	3133	3892
446	3139	3883
447	3146	3876
448	3151	3867
449	3158	3859
450	3164	3852
451	3170	3843
452	3177	3836
453	3183	3829
454	3190	3821
455	3196	3813
456	3202	3805
457	3209	3797
458	3214	3789
459	3221	3781
460	3228	3775
461	3235	3767
462	3242	3760
463	3248	3752
464	3256	3746
465	3262	3738
466	3271	3734
467	3279	3727
468	3286	3721
469	3294	3714
470	3302	3708
471	3309	3701
472	3316	3694
473	3324	3689
474	3331	3682
475	3339	3676
476	3346	3669
477	3353	3662
478	3360	3655
479	3367	3647
480	3373	3639
481	3378	3631
482	3385	3623
483	3391	3615
484	3396	3606
485	3403	3599
486	3409	3591
487	3416	3584
488	3423	3577
489	3431	3571
490	3438	3564
491	3444	3556
492	3453	3551
493	3459	3543
494	3468	3538
495	3475	3531
496	3482	3524
497	3488	3516
498	3496	3510
499	3503	3503
500	3510	3496
501	3516	3488
502	3523	3481
503	3530	3474
504	3537	3467
505	3544	3460
506	3551	3453
507	3559	3446
508	3565	3439
509	3573	3433
510	3580	3426
511	3587	3419
512	3594	3412
513	3601	3405
514	3608	3398
515	3615	3391
516	3624	3386
517	3632	3379
518	3638	3372
519	3647	3367
520	3655	3360
521	3662	3353
522	3669	3347
523	3676	3339
524	3684	3333
525	3691	3326
526	3698	3319
527	3705	3312
528	3713	3306
529	3721	3300
530	3729	3294
531	3735	3286
532	3741	3278
533	3748	3270
534	3753	3262
535	3759	3254
536	3766	3247
537	3771	3238
538	3778	3231
539	3784	3223
540	3789	3215
541	3796	3208
542	3802	3199
543	3809	3193
